Student_ID,Gender,Study_Hours,Attendance,Past_Exam_Scores,Final_Exam_Score,Pass,Pass_numeric
S147,Male,31,68.26784098,86,63,Pass,1
S136,Male,16,78.22292713,73,50,Fail,0
S209,Female,21,87.52509624,74,55,Fail,0
S458,Female,27,92.07648302,99,65,Pass,1
S078,Female,37,98.65551746,63,70,Pass,1
S417,Male,30,84.15919282,77,61,Pass,1
S302,Male,24,89.38949444,95,61,Pass,1
S009,Male,31,50.68359824,78,50,Fail,0
S044,Female,34,80.8631856,94,65,Pass,1
S331,Male,27,65.49684631,86,55,Fail,0
S451,Female,35,69.83246865,58,57,Fail,0
S059,Male,11,92.10457075,95,62,Pass,1
S315,Male,25,78.8815977,81,59,Fail,0
S295,Female,18,66.60732063,64,50,Fail,0
S141,Female,12,62.21765777,62,50,Fail,0
S274,Female,34,55.03973015,71,50,Fail,0
S327,Male,32,93.03160089,78,77,Pass,1
S413,Female,24,71.08519673,81,56,Fail,0
S452,Female,37,97.70434683,55,58,Fail,0
S386,Female,39,85.19730676,62,57,Fail,0
S458,Female,27,92.07648302,99,65,Pass,1
S079,Male,14,80.09676978,79,55,Fail,0
S375,Male,36,97.22048628,93,65,Pass,1
S384,Male,27,93.82220379,57,57,Fail,0
S207,Female,20,89.07572409,92,62,Pass,1
S071,Female,26,70.01502445,69,50,Fail,0
S489,Male,27,99.02884001,85,64,Pass,1
S066,Female,38,78.98249672,96,71,Pass,1
S018,Female,32,68.89252746,66,58,Fail,0
S015,Female,27,79.25747662,67,50,Fail,0
S155,Male,39,50.91212407,52,50,Fail,0
S159,Male,14,78.79992089,91,61,Pass,1
S368,Female,15,77.83607924,95,61,Pass,1
S104,Female,28,96.20208796,83,67,Pass,1
S329,Female,20,59.22314357,96,64,Pass,1
S397,Female,37,93.053401,81,61,Pass,1
S097,Female,29,68.86429826,92,64,Pass,1
S112,Male,14,84.35827527,94,59,Fail,0
S370,Male,28,90.26574837,74,64,Pass,1
S463,Female,13,73.71186544,77,55,Fail,0
S060,Male,32,88.44588707,78,56,Fail,0
S041,Male,37,81.96806785,67,56,Fail,0
S097,Female,29,68.86429826,92,64,Pass,1
S216,Male,21,65.80982911,92,65,Pass,1
S430,Female,23,86.60922892,79,55,Fail,0
S377,Female,35,70.31961541,85,59,Fail,0
S187,Female,22,60.08652312,78,50,Fail,0
S233,Female,35,66.6407893,78,54,Fail,0
S166,Male,16,85.92286354,83,55,Fail,0
S207,Female,20,89.07572409,92,62,Pass,1
S419,Female,37,76.48308393,82,63,Pass,1
S033,Female,19,90.81928676,88,56,Fail,0
S185,Male,33,77.4301559,94,58,Fail,0
S057,Female,37,89.82358878,84,68,Pass,1
S372,Female,21,80.15987011,63,50,Fail,0
S395,Male,12,88.69172616,80,50,Fail,0
S211,Male,10,91.25663383,85,63,Pass,1
S361,Female,29,62.6944282,56,54,Fail,0
S382,Female,22,92.40640477,51,53,Fail,0
S389,Male,37,66.79329286,70,55,Fail,0
S387,Male,35,95.53120018,66,65,Pass,1
S380,Male,39,81.66203875,97,66,Pass,1
S020,Male,36,60.25226643,80,50,Fail,0
S445,Female,15,91.85394954,93,67,Pass,1
S380,Male,39,81.66203875,97,66,Pass,1
S099,Female,22,93.41505535,88,63,Pass,1
S448,Female,37,86.07664306,60,51,Fail,0
S408,Female,35,87.08434721,73,60,Pass,1
S089,Female,15,56.43741991,58,50,Fail,0
S049,Female,17,54.55010455,91,50,Fail,0
S194,Male,26,80.30509405,62,56,Fail,0
S121,Female,35,59.11419392,55,57,Fail,0
S362,Male,26,59.80565498,52,50,Fail,0
S322,Male,16,60.63403922,76,50,Fail,0
S499,Male,24,73.6605059,68,57,Fail,0
S251,Female,34,76.82406757,55,50,Fail,0
S314,Male,32,62.41132214,60,50,Fail,0
S200,Male,27,96.64690335,65,63,Pass,1
S399,Female,34,98.72736326,94,66,Pass,1
S072,Female,29,84.88337868,54,50,Fail,0
S162,Male,35,98.75335815,89,71,Pass,1
S440,Male,20,97.93135887,95,61,Pass,1
S139,Male,38,94.98236986,84,71,Pass,1
S449,Male,30,80.52023335,52,59,Fail,0
S108,Female,37,86.02580307,57,60,Pass,1
S476,Female,23,65.72982784,91,58,Fail,0
S068,Male,35,76.86317084,79,57,Fail,0
S178,Male,11,54.36450898,62,50,Fail,0
S406,Female,30,74.23891836,71,60,Pass,1
S340,Female,15,79.37268021,83,61,Pass,1
S368,Female,15,77.83607924,95,61,Pass,1
S370,Male,28,90.26574837,74,64,Pass,1
S379,Female,16,54.34625075,87,50,Fail,0
S246,Female,33,60.22722966,83,56,Fail,0
S164,Female,25,86.14480483,54,50,Fail,0
S008,Male,19,56.69260594,72,50,Fail,0
S051,Male,25,77.37231534,79,57,Fail,0
S142,Male,21,74.91238489,96,61,Pass,1
S394,Female,10,67.25960724,96,64,Pass,1
S045,Female,13,99.02313625,91,55,Fail,0
S013,Male,23,87.49553747,88,57,Fail,0
S085,Male,21,77.43576546,97,52,Fail,0
S300,Female,28,87.21248259,75,65,Pass,1
S438,Female,32,71.10180298,88,51,Fail,0
S439,Male,34,67.69356883,75,56,Fail,0
S012,Male,17,76.71731375,79,50,Fail,0
S366,Male,13,78.47217589,52,50,Fail,0
S380,Male,39,81.66203875,97,66,Pass,1
S180,Male,19,96.60071711,54,52,Fail,0
S486,Female,19,87.95179228,100,64,Pass,1
S431,Male,24,62.53653303,82,52,Fail,0
S160,Female,21,95.86978065,58,66,Pass,1
S353,Male,14,94.87152049,74,63,Pass,1
S265,Male,33,91.33994139,53,50,Fail,0
S152,Male,14,52.78267447,77,50,Fail,0
S147,Male,31,68.26784098,86,63,Pass,1
S259,Female,12,88.59409903,77,50,Fail,0
S429,Male,26,63.32491967,62,50,Fail,0
S014,Male,33,95.65828761,84,61,Pass,1
S159,Male,14,78.79992089,91,61,Pass,1
S482,Female,14,54.33526059,61,50,Fail,0
S297,Female,37,61.36978104,100,66,Pass,1
S055,Male,32,76.1801138,81,56,Fail,0
S207,Female,20,89.07572409,92,62,Pass,1
S280,Female,39,89.50423186,67,64,Pass,1
S034,Female,32,98.39868827,64,67,Pass,1
S494,Female,33,83.49587323,100,71,Pass,1
S163,Female,35,74.53743896,74,57,Fail,0
S433,Male,30,74.71369251,75,53,Fail,0
S028,Female,20,51.1092371,92,51,Fail,0
S328,Male,38,76.75348595,70,64,Pass,1
S355,Female,28,90.03748857,78,67,Pass,1
S225,Female,12,78.87431355,79,51,Fail,0
S160,Female,21,95.86978065,58,66,Pass,1
S213,Male,17,61.7845873,87,57,Fail,0
S435,Female,31,91.90534816,88,68,Pass,1
S271,Female,32,80.74751316,76,52,Fail,0
S365,Male,22,66.96356229,73,61,Pass,1
S186,Male,14,77.44609899,81,57,Fail,0
S284,Male,31,68.72176849,78,53,Fail,0
S019,Female,11,62.05424162,63,52,Fail,0
S280,Female,39,89.50423186,67,64,Pass,1
S143,Female,35,66.51742406,74,59,Fail,0
S299,Male,29,68.96528492,72,50,Fail,0
S090,Female,22,66.50497567,64,50,Fail,0
S214,Male,19,81.68792819,56,50,Fail,0
S369,Male,37,86.04065482,64,61,Pass,1
S375,Male,36,97.22048628,93,65,Pass,1
S402,Female,34,78.288831,87,65,Pass,1
S344,Female,17,76.72279456,73,50,Fail,0
S480,Female,27,84.52801162,61,52,Fail,0
S279,Male,26,95.93752611,75,61,Pass,1
S262,Female,27,78.27541737,86,59,Fail,0
S086,Male,14,76.72117519,50,50,Fail,0
S061,Male,31,53.31179889,98,67,Pass,1
S305,Female,14,70.72522921,53,50,Fail,0
S414,Male,30,56.61381056,64,52,Fail,0
S228,Female,35,76.59287398,67,62,Pass,1
S335,Female,19,67.46934995,54,50,Fail,0
S074,Female,15,84.82507331,79,57,Fail,0
S399,Female,34,98.72736326,94,66,Pass,1
S216,Male,21,65.80982911,92,65,Pass,1
S459,Male,37,92.32039247,61,61,Pass,1
S493,Male,32,52.57979033,81,50,Fail,0
S367,Female,13,94.37302413,69,62,Pass,1
S403,Male,33,99.26836561,90,64,Pass,1
S035,Female,35,54.42041117,98,59,Fail,0
S119,Female,30,55.24345833,98,62,Pass,1
S003,Male,32,69.64947245,58,57,Fail,0
S261,Male,13,79.92213506,79,52,Fail,0
S264,Male,16,79.95146824,71,55,Fail,0
S478,Female,38,98.10493929,60,64,Pass,1
S465,Female,31,67.57700806,96,62,Pass,1
S365,Male,22,66.96356229,73,61,Pass,1
S326,Female,12,77.86526844,77,50,Fail,0
S298,Male,23,80.39471969,60,50,Fail,0
S253,Female,19,72.85001096,79,53,Fail,0
S223,Female,28,76.9890531,81,65,Pass,1
S189,Male,25,54.39340556,52,50,Fail,0
S124,Male,24,54.46021644,96,51,Fail,0
S223,Female,28,76.9890531,81,65,Pass,1
S024,Female,26,93.91103337,94,65,Pass,1
S066,Female,38,78.98249672,96,71,Pass,1
S457,Female,37,58.10069389,90,58,Fail,0
S487,Male,33,86.20516646,68,51,Fail,0
S066,Female,38,78.98249672,96,71,Pass,1
S130,Female,17,82.44114201,98,62,Pass,1
S330,Female,20,64.97979559,65,50,Fail,0
S119,Female,30,55.24345833,98,62,Pass,1
S381,Female,12,86.79523066,71,57,Fail,0
S101,Male,37,79.86390411,73,70,Pass,1
S394,Female,10,67.25960724,96,64,Pass,1
S016,Male,24,86.3060422,91,65,Pass,1
S023,Female,35,60.36138245,93,63,Pass,1
S091,Female,29,66.07913823,98,60,Pass,1
S032,Male,38,65.38886199,93,67,Pass,1
S043,Female,16,95.15755293,65,55,Fail,0
S277,Male,39,79.64814526,50,55,Fail,0
S268,Female,14,61.36754915,85,50,Fail,0
S021,Female,19,62.57212198,73,50,Fail,0
S197,Female,29,92.536373,55,61,Pass,1
S291,Male,38,61.79530173,60,54,Fail,0
S263,Male,26,85.80895374,78,58,Fail,0
S368,Female,15,77.83607924,95,61,Pass,1
S342,Female,23,85.70295999,98,60,Pass,1
S324,Female,35,98.77706578,66,71,Pass,1
S328,Male,38,76.75348595,70,64,Pass,1
S120,Male,10,86.8702603,52,50,Fail,0
S333,Female,21,71.33944527,55,50,Fail,0
S077,Female,20,75.76180274,94,56,Fail,0
S016,Male,24,86.3060422,91,65,Pass,1
S092,Female,39,54.61452931,73,60,Pass,1
S339,Female,38,91.82824066,64,61,Pass,1
S084,Female,21,51.59023407,74,50,Fail,0
S258,Female,26,70.44775885,83,57,Fail,0
S477,Male,12,90.37151259,63,53,Fail,0
S229,Male,17,53.33095562,85,50,Fail,0
S237,Female,18,93.93145577,81,57,Fail,0
S047,Female,29,81.83221608,51,52,Fail,0
S416,Male,31,84.56109288,71,56,Fail,0
S428,Female,18,63.18419013,90,57,Fail,0
S252,Male,13,68.94107828,68,50,Fail,0
S222,Male,38,81.20507721,59,60,Pass,1
S302,Male,24,89.38949444,95,61,Pass,1
S390,Male,17,91.25536657,67,59,Fail,0
S042,Male,35,90.25223338,82,68,Pass,1
S332,Male,24,69.86590577,69,54,Fail,0
S235,Female,11,84.68588037,88,67,Pass,1
S387,Male,35,95.53120018,66,65,Pass,1
S345,Male,19,74.05439742,61,51,Fail,0
S190,Female,33,56.94123867,89,59,Fail,0
S160,Female,21,95.86978065,58,66,Pass,1
S349,Female,35,66.71814057,65,58,Fail,0
S409,Female,21,84.94229266,90,63,Pass,1
S341,Male,16,64.70223396,84,50,Fail,0
S156,Female,23,84.84807312,74,68,Pass,1
S241,Female,30,99.8846308,98,74,Pass,1
S011,Male,12,84.58571986,80,60,Pass,1
S313,Female,30,95.63747314,78,61,Pass,1
S126,Female,39,61.66082058,98,63,Pass,1
S328,Male,38,76.75348595,70,64,Pass,1
S368,Female,15,77.83607924,95,61,Pass,1
S339,Female,38,91.82824066,64,61,Pass,1
S221,Male,11,94.98337226,91,57,Fail,0
S192,Male,32,55.83480321,89,59,Fail,0
S496,Male,31,79.41318785,67,65,Pass,1
S370,Male,28,90.26574837,74,64,Pass,1
S017,Female,31,87.8540601,88,65,Pass,1
S101,Male,37,79.86390411,73,70,Pass,1
S175,Female,31,76.49200116,55,50,Fail,0
S017,Female,31,87.8540601,88,65,Pass,1
S459,Male,37,92.32039247,61,61,Pass,1
S232,Female,19,71.57640716,62,52,Fail,0
S458,Female,27,92.07648302,99,65,Pass,1
S138,Male,31,66.87234169,81,59,Fail,0
S254,Male,14,80.1978936,56,52,Fail,0
S469,Male,30,72.98407564,65,54,Fail,0
S329,Female,20,59.22314357,96,64,Pass,1
S027,Female,18,63.4336241,86,50,Fail,0
S360,Male,31,77.58612976,99,66,Pass,1
S432,Female,10,81.65490317,62,50,Fail,0
S038,Male,34,74.00229835,71,54,Fail,0
S154,Male,26,52.58177389,58,50,Fail,0
S484,Female,34,87.9196207,74,58,Fail,0
S146,Male,14,61.26663989,63,50,Fail,0
S294,Female,21,91.87453945,96,65,Pass,1
S283,Female,34,88.56233343,96,72,Pass,1
S488,Female,39,81.86157899,95,61,Pass,1
S434,Female,31,78.66471891,71,55,Fail,0
S039,Male,33,71.02678893,74,58,Fail,0
S023,Female,35,60.36138245,93,63,Pass,1
S498,Female,27,77.79032907,67,58,Fail,0
S234,Female,39,86.52745684,61,53,Fail,0
S369,Male,37,86.04065482,64,61,Pass,1
S340,Female,15,79.37268021,83,61,Pass,1
S073,Male,19,59.00336362,50,50,Fail,0
S353,Male,14,94.87152049,74,63,Pass,1
S031,Male,16,91.5685745,72,52,Fail,0
S125,Male,11,76.7667782,72,57,Fail,0
S410,Female,22,70.12750218,66,50,Fail,0
S402,Female,34,78.288831,87,65,Pass,1
S053,Male,21,95.52356392,62,50,Fail,0
S351,Female,14,87.66231104,57,55,Fail,0
S391,Male,38,68.15296061,79,60,Pass,1
S257,Male,12,74.3178741,81,50,Fail,0
S235,Female,11,84.68588037,88,67,Pass,1
S181,Male,35,66.03210961,62,50,Fail,0
S445,Female,15,91.85394954,93,67,Pass,1
S165,Female,30,91.04307366,60,50,Fail,0
S461,Female,14,57.73360704,57,52,Fail,0
S354,Female,15,76.32892333,66,50,Fail,0
S446,Male,21,71.85966982,98,62,Pass,1
S324,Female,35,98.77706578,66,71,Pass,1
S342,Female,23,85.70295999,98,60,Pass,1
S447,Male,33,95.77568386,89,69,Pass,1
S455,Male,17,63.49556112,80,53,Fail,0
S278,Female,26,55.11063321,71,50,Fail,0
S094,Female,12,84.38923585,61,50,Fail,0
S409,Female,21,84.94229266,90,63,Pass,1
S226,Female,32,67.76812259,88,56,Fail,0
S069,Female,35,73.00595795,74,60,Pass,1
S450,Female,17,97.46533985,55,50,Fail,0
S092,Female,39,54.61452931,73,60,Pass,1
S026,Female,10,52.34482339,52,50,Fail,0
S224,Female,27,71.93723377,92,59,Fail,0
S356,Male,17,98.94657178,57,50,Fail,0
S097,Female,29,68.86429826,92,64,Pass,1
S321,Female,35,61.0048607,60,50,Fail,0
S188,Male,13,84.22857739,100,65,Pass,1
S083,Male,37,67.38096072,86,65,Pass,1
S240,Female,35,78.65754246,76,60,Pass,1
S365,Male,22,66.96356229,73,61,Pass,1
S095,Female,32,75.58285068,86,63,Pass,1
S408,Female,35,87.08434721,73,60,Pass,1
S289,Male,13,95.53430991,56,60,Pass,1
S115,Male,39,51.52360764,92,64,Pass,1
S325,Female,14,72.9494494,93,54,Fail,0
S327,Male,32,93.03160089,78,77,Pass,1
S172,Male,32,85.54762394,97,64,Pass,1
S441,Male,21,59.21854603,99,60,Pass,1
S198,Female,33,87.29872628,73,72,Pass,1
S034,Female,32,98.39868827,64,67,Pass,1
S032,Male,38,65.38886199,93,67,Pass,1
S103,Female,39,76.8295323,62,68,Pass,1
S042,Male,35,90.25223338,82,68,Pass,1
S282,Female,25,82.56836055,63,54,Fail,0
S116,Female,32,93.36074905,83,66,Pass,1
S436,Female,12,70.21907508,51,50,Fail,0
S460,Male,37,97.76181564,57,59,Fail,0
S338,Male,26,68.88629737,87,65,Pass,1
S244,Male,20,88.92859695,89,61,Pass,1
S048,Male,10,77.74078043,84,56,Fail,0
S006,Female,27,53.17559148,57,50,Fail,0
S052,Female,23,72.54552237,62,50,Fail,0
S095,Female,32,75.58285068,86,63,Pass,1
S470,Female,29,53.79667052,53,50,Fail,0
S147,Male,31,68.26784098,86,63,Pass,1
S355,Female,28,90.03748857,78,67,Pass,1
S316,Female,34,58.27566587,51,54,Fail,0
S191,Male,25,50.13554497,83,50,Fail,0
S347,Male,27,88.26781405,64,67,Pass,1
S104,Female,28,96.20208796,83,67,Pass,1
S127,Female,31,67.14634321,58,50,Fail,0
S151,Male,37,90.29324434,52,56,Fail,0
S157,Male,39,99.86277674,83,64,Pass,1
S044,Female,34,80.8631856,94,65,Pass,1
S157,Male,39,99.86277674,83,64,Pass,1
S285,Female,22,53.44607697,61,50,Fail,0
S300,Female,28,87.21248259,75,65,Pass,1
S391,Male,38,68.15296061,79,60,Pass,1
S092,Female,39,54.61452931,73,60,Pass,1
S310,Female,36,95.92273625,88,64,Pass,1
